Rank;Previous Rank;First Appearance;First Rank;Name;Computer;Site;Manufacturer;Country;Year;Segment;Total Cores;Accelerator/Co-Processor Cores;Rmax [TFlop/s];Rpeak [TFlop/s];Nmax;Nhalf;HPCG [TFlop/s];Power (kW);Power Source;Power Efficiency [GFlops/Watts];Memory;Architecture;Processor;Processor Technology;Processor Speed (MHz);Operating System;OS Family;Accelerator/Co-Processor;Cores per Socket;Processor Generation;System Model;System Family;Interconnect Family;Interconnect;Continent;Site ID;System ID
25;19;56;19;TOKI-SORA;PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D;Japan Aerospace eXploration Agency;Fujitsu;Japan;2020;Research;276 480;;16 592,00;19 464,20;4 208 640;;614,22;;;;;Cluster;A64FX 48C 2.2GHz;Fujitsu ARM;2 200;Red Hat Enterprise Linux;Linux;None;48;Fujitsu A64FX;PRIMEHPC FX1000;Fujitsu PRIMEHPC;Proprietary Network;Tofu interconnect D;Asia;50 187;179895
26;;57;26;Pioneer-EUS;NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR;Azure East US;Microsoft Azure;United States;2020;Vendor;157 440;141 696;16 590,00;24 557,23;2 621 376;;455,56;;;;;Cluster;AMD EPYC 7V12 48C 2.45GHz;AMD Zen-2 (Rome);2 450;Ubuntu 16.04.3 LTS;Linux;NVIDIA A100;48;AMD Rome;NDv4 cluster;Microsoft Azure Cluster;Infiniband;Infiniband HDR;North America;50 871;179969
27;;57;27;Pioneer-SCUS;NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR;Azure South Central US;Microsoft Azure;United States;2021;Vendor;157 440;141 696;16 590,00;24 557,23;2 621 376;;455,56;;;;;Cluster;AMD EPYC 7V12 48C 2.45GHz;AMD Zen-2 (Rome);2 450;Ubuntu 16.04.3 LTS;Linux;NVIDIA A100;48;AMD Rome;NDv4 cluster;Microsoft Azure Cluster;Infiniband;Infiniband HDR;North America;50 870;179970
28;;57;28;Pioneer-WEU;NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR;Azure West Europe;Microsoft Azure;Netherlands;2021;Vendor;157 440;141 696;16 590,00;24 557,23;2 621 376;;455,56;;;;;Cluster;AMD EPYC 7V12 48C 2.45GHz;AMD Zen-2 (Rome);2 450;Ubuntu 16.04.3 LTS;Linux;NVIDIA A100;48;AMD Rome;NDv4 cluster;Microsoft Azure Cluster;Infiniband;Infiniband HDR;Europe;50 868;179968
29;;57;29;Pioneer-WUS2;NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR;Azure West US 2;Microsoft Azure;United States;2021;Others;157 440;141 696;16 590,00;24 557,23;2 621 376;;455,56;;;;;Cluster;AMD EPYC 7V12 48C 2.45GHz;AMD Zen-2 (Rome);2 450;Ubuntu 16.04.3 LTS;Linux;NVIDIA A100;48;AMD Rome;NDv4 cluster;Microsoft Azure Cluster;Infiniband;Infiniband HDR;North America;50 889;179967
30;20;48;5;Cori;Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ;DOE/SC/LBNL/NERSC;Cray/HPE;United States;2016;Research;622 336;;14 014,70;27 880,65;6 984 960;;355,44;3 939,00;Submitted;3,56;;MPP;Intel Xeon Phi 7250 68C 1.4GHz;Intel Xeon Phi;1 400;Cray Linux Environment ;Linux;None;68;Intel Xeon Phi;Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;North America;48 429;178924
31;21;51;11;Nurion;Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path;Korea Institute of Science and Technology Information;Cray/HPE;South Korea;2018;Research;570 020;;13 929,30;25 705,90;10 076 976;;391,45;;;;;Cluster;Intel Xeon Phi 7250 68C 1.4GHz;Intel Xeon Phi;1 400;CentOS;Linux;None;68;Intel Xeon Phi;Cray CS500;Cray CS;Omnipath;Intel Omni-Path;Asia;50 770;179421
32;22;48;6;Oakforest-PACS;PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path;Joint Center for Advanced High Performance Computing;Fujitsu;Japan;2016;Academic;556 104;;13 554,60;24 913,46;9 938 880;;385,48;2 718,70;Submitted;4,99;;Cluster;Intel Xeon Phi 7250 68C 1.4GHz;Intel Xeon Phi;1 400;Linux;Linux;None;68;Intel Xeon Phi;PRIMERGY CX1640 M1;Fujitsu Cluster;Omnipath;Intel Omni-Path;Asia;50 673;178932
33;23;51;13;HPC4;Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100;Eni S.p.A.;HPE;Italy;2018;Industry;253 600;177 520;12 210,00;18 621,14;5 947 392;;271,87;1 320,00;Submitted;9,25;;Cluster;Xeon Platinum 8160  24C 2.1GHz;Intel Skylake;2 100;RHEL 7.4;Linux;NVIDIA Tesla P100;24;Xeon Platinum;Proliant DL380 Gen10;HP Cluster Platform 3000;Infiniband;Mellanox InfiniBand EDR;Europe;50 489;179444
34;24;51;14;Tera-1000-2;Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2;Commissariat a l'Energie Atomique (CEA);Atos;France;2017;Research;561 408;;11 965,50;23 396,35;10 321 920;;333,76;3 178,00;Submitted;3,77;;Cluster;Intel Xeon Phi 7250 68C 1.4GHz;Intel Xeon Phi;1 400;bullx SCS;Linux;None;68;Intel Xeon Phi;BullSequana X1000;BullSequana;Custom Interconnect;Bull BXI 1.2;Europe;47 593;179412
35;25;49;12;Stampede2;PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path;Texas Advanced Computing Center/Univ. of Texas;Dell EMC;United States;2017;Academic;367 024;;10 680,70;18 309,22;8 242 944;;;;;;;Cluster;Intel Xeon Phi 7250 68C 1.4GHz;Intel Xeon Phi;1 400;CentOS;Linux;None;68;Intel Xeon Phi;PowerEdge C6320P;Dell PowerEdge Cluster;Omnipath;Intel Omni-Path;North America;48 958;179045
36;;57;36;MeluXina - Accelerator Module;BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite;LuxProvide;Atos;Luxembourg;2021;Research;99 200;86 400;10 520,00;15 288,00;2 040 192;;280,03;390,25;Submitted;26,96;;Cluster;AMD EPYC 7452 32C 2.35GHz;AMD Zen-2 (Rome);2 350;RHEL compatible;Linux;NVIDIA A100 40GB;32;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite;Europe;50 882;179932
37;;57;37;Cactus;HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10;GDIT/NOAA/WCOSS;HPE;United States;2021;Government;327 680;;10 013,00;11 796,48;8 413 184;;;;;;;MPP;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Cray OS;Linux;None;64;AMD Rome;HPE Cray EX;HPE Cray EX;Gigabit Ethernet;Slingshot-10;North America;50 879;179944
38;;57;38;Dogwood;HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10;GDIT/NOAA/WCOSS;HPE;United States;2020;Government;327 680;;10 013,00;11 796,48;8 413 184;;;;;;;MPP;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Cray OS;Linux;None;64;AMD Rome;HPE Cray EX;HPE Cray EX;Gigabit Ethernet;Slingshot-10;North America;50 879;179945
39;;57;39;Earth Simulator -SX-Aurora TSUBASA;SX-Aurora TSUBASA A401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200;Japan Agency for Marine-Earth Science and Technology;NEC;Japan;2021;Research;43 776;;9 990,70;13 447,99;5 571 072;;747,80;1 390,95;Submitted;7,18;;Cluster;Vector Engine Type20B 8C 1.6GHz;NEC Vector Engine;1 600;VEOS;Linux;None;8;Vector Engine;SX-Aurora TSUBASA B401-8;SX-Aurora TSUBASA;Infiniband;Infiniband HDR200;Asia;49 318;179927
40;;57;40;Amazon EC2 Instance Cluster us-east-1a;Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet;Descartes Labs;Amazon Web Services;United States;2019;Industry;172 692;;9 950,26;15 106,52;7 864 320;;;;;;;Cluster;Xeon Platinum 8124M 18C 3GHz;Intel Skylake;3 000;Amazon Linux 2;Linux;None;18;Xeon Platinum;Amazon EC2 r5.24xlarge;Amazon EC2;Gigabit Ethernet;25G Ethernet;North America;50 808;179974
41;;57;41;NVIDIA Cambridge-1 DGX SuperPOD;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB;NVIDIA Corporation;Nvidia;United States;2021;Vendor;79 360;69 120;9 682,00;12 047,00;2 515 968;;251,00;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Ubuntu 20.04.1 LTS;Linux;NVIDIA A100 80GB;64;AMD Rome;NVIDIA DGX A100;NVIDIA DGX;Infiniband;Infiniband HDR;North America;48 448;179960
42;26;53;22;DGX SuperPOD;NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR;NVIDIA Corporation;Nvidia;United States;2020;Vendor;127 488;122 880;9 444,00;11 209,11;2 519 232;;199,20;;;;;Cluster;Xeon Platinum 8174 24C 3.1GHz;Intel Skylake;3 100;Ubuntu 18.04.01;Linux;NVIDIA Tesla V100;24;Xeon Platinum;NVIDIA DGX-2H Pod;NVIDIA DGX;Infiniband;Mellanox InfiniBand EDR;North America;48 448;179691
43;;57;43;JURECA Data Centric Module;BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite;Forschungszentrum Juelich (FZJ);Atos;Germany;2021;Research;105 840;81 648;9 330,00;14 508,00;1 928 448;;273,78;384,10;Submitted;24,29;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;CentOS;Linux;NVIDIA A100 40GB;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite;Europe;47 871;179947
44;27;55;24;Gadi;PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband;National Computational Infrastructure (NCI Australia);Fujitsu / Lenovo;Australia;2020;Academic;204 032;51 200;9 264,31;15 142,20;7 150 464;;;;;;;Cluster;Xeon Platinum 8274 24C 3.2GHz;Intel Cascade lake;3 200;CentOS;Linux;NVIDIA Tesla V100 SXM2;24;Xeon Platinum 82xx (Cascade Lake);PRIMERGY CX2570 M5;Fujitsu PRIMERGY;Infiniband;Mellanox HDR Infiniband;Oceania;47 369;179865
45;28;52;20;Taiwania 2;QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2;National Center for High Performance Computing;Quanta Computer / Taiwan Fixed Network / ASUS Cloud;Taiwan;2018;Research;170 352;161 280;9 000,00;15 208,23;2 862 720;;;797,54;Submitted;11,28;;Cluster;Xeon Gold 6154 18C 3GHz;Intel Skylake;3 000;CentOS;Linux;NVIDIA Tesla V100 SXM2;18;Xeon Gold;QCT QuantaGrid D52G-4U/LC;QCT QuantaGrid;Infiniband;Mellanox InfiniBand EDR;Asia;48 468;179590
46;;57;46;Dragão;Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR;Petróleo Brasileiro S.A;Atos;Brazil;2021;Industry;188 224;174 080;8 983,00;14 006,48;2 913 408;;;943,12;Submitted;9,52;;Cluster;Xeon Gold 6230R 26C 2.1GHz;Intel Cascade lake;2 100;CentOS Linux 7;Linux;NVIDIA Tesla V100;26;Xeon Gold 62xx (Cascade Lake);Supermicro SYS-4029GP-TVRT;Supermicro Cluster;Infiniband;Infiniband EDR;South America;49 587;179941
47;;57;47;Raven-GPU;ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband;Max-Planck-Gesellschaft MPI/IPP;Lenovo;Germany;2021;Research;96 768;82 944;8 620,00;16 031,54;1 959 552;;;377,00;Submitted;22,86;;Cluster;Xeon Platinum 8360Y 36C 2.4GHz;Intel Ice Lake;2 400;SUSE Linux Enterprise Server 15 SP2;Linux;NVIDIA A100;36;Xeon® Platinum 83xx (Ice Lake);ThinkSystem SD650-N V2;Lenovo ThinkSystem;Infiniband;Mellanox HDR Infiniband;Europe;48 331;179933
48;29;54;24;AiMOS;IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband;Rensselaer Polytechnic Institute Center for Computational Innovations (CCI);IBM;United States;2019;Academic;130 000;120 000;8 339,00;11 032,03;3 809 280;;;512,08;Submitted;16,28;;Cluster;IBM POWER9 20C 3.45GHz;Power;3 450;RHEL 7.6;Linux;NVIDIA Volta GV100;20;IBM POWER9;IBM Power System AC922; IBM Power Systems;Infiniband;Dual-rail Mellanox EDR Infiniband;North America;50 823;179781
49;30;56;30;Taranis;Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100;Meteo France;Atos;France;2020;Research;294 912;;8 191,03;10 321,92;7 741 440;;;1 672,00;Submitted;4,90;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;bullx SCS;Linux;None;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox InfiniBand HDR100;Europe;48 356;179892
